id,predominant_stress,miner,rust,phoma,cercospora,severity
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,1,1,0,0,0,1
213,1,1,0,0,0,1
214,1,1,0,0,0,1
215,1,1,0,0,0,1
216,1,1,0,0,0,1
217,1,1,0,0,0,1
218,1,1,0,0,0,1
219,1,1,0,0,0,2
220,1,1,0,0,0,1
221,1,1,0,0,0,1
222,1,1,0,0,0,1
223,1,1,0,0,0,1
224,1,1,0,0,0,1
225,1,1,0,0,0,2
226,1,1,0,0,0,1
227,1,1,0,0,0,2
228,1,1,0,0,0,1
229,1,1,0,0,0,1
230,1,1,0,0,1,3
231,0,0,0,0,0,0
232,3,0,0,1,0,2
233,3,0,0,1,0,1
234,3,0,0,1,0,3
235,3,0,0,1,0,2
236,3,0,0,1,0,1
237,3,0,0,1,0,1
238,3,0,0,1,0,1
239,3,0,0,1,0,1
240,3,0,0,1,0,1
241,3,0,0,1,0,2
242,3,0,0,1,0,2
243,3,0,0,1,0,3
244,3,0,0,1,0,2
245,3,0,0,1,0,1
246,3,0,0,1,0,2
247,3,0,0,1,0,1
248,3,0,0,1,0,1
249,3,0,0,1,0,2
250,3,0,0,1,0,2
251,3,0,0,1,0,1
252,3,0,0,1,0,2
253,3,0,0,1,0,2
254,3,0,0,1,0,3
255,3,0,0,1,0,2
256,3,0,0,1,0,3
257,3,0,0,1,0,2
258,3,0,0,1,0,2
259,3,0,0,1,0,1
260,3,0,0,1,0,1
261,3,0,0,1,0,1
262,3,0,0,1,0,1
263,3,0,0,1,0,2
264,3,0,0,1,0,1
265,3,0,0,1,0,2
266,3,0,0,1,0,1
267,3,0,0,1,0,1
268,3,0,0,1,0,1
269,3,0,0,1,0,4
270,3,0,0,1,0,1
271,3,0,0,1,0,1
272,3,0,0,1,0,2
273,3,0,0,1,0,2
274,3,0,0,1,0,1
275,3,0,0,1,0,1
276,3,0,0,1,0,1
277,3,0,0,1,0,1
278,3,0,0,1,0,1
279,3,0,0,1,0,1
280,3,0,0,1,0,1
281,3,0,0,1,0,1
282,3,0,0,1,0,1
283,3,0,0,1,0,3
284,3,0,0,1,0,1
285,3,0,0,1,0,2
286,3,0,0,1,0,1
287,3,0,0,1,0,2
288,3,0,0,1,0,2
289,3,0,0,1,0,1
290,3,0,0,1,0,2
291,3,0,0,1,0,1
292,3,0,0,1,0,2
293,3,0,0,1,0,2
294,3,0,0,1,0,2
295,3,0,0,1,0,3
296,3,0,0,1,0,1
297,3,0,0,1,0,2
298,3,0,0,1,0,2
299,3,0,0,1,0,2
300,3,0,0,1,0,3
301,3,0,0,1,0,3
302,3,0,0,1,0,2
303,3,0,0,1,0,1
304,3,0,0,1,0,2
305,3,0,0,1,0,1
306,3,0,0,1,0,2
307,3,0,0,1,0,1
308,3,0,0,1,0,2
309,3,0,0,1,0,4
310,3,0,0,1,0,3
311,3,0,0,1,0,1
312,3,0,0,1,0,1
313,3,0,0,1,0,1
314,3,0,0,1,0,1
315,3,0,0,1,0,2
316,3,0,0,1,0,1
317,3,0,0,1,0,1
318,3,0,0,1,0,3
319,3,0,0,1,0,2
320,3,0,0,1,0,2
321,3,0,0,1,0,4
322,3,0,0,1,0,2
323,3,0,0,1,0,3
324,3,0,0,1,0,1
325,3,0,0,1,0,1
326,3,0,0,1,0,2
327,3,0,0,1,0,3
328,3,0,0,1,0,2
329,3,0,0,1,0,1
330,3,0,0,1,0,1
331,3,0,0,1,0,2
332,3,0,0,1,0,1
333,3,0,0,1,0,1
334,3,0,0,1,0,2
335,3,0,0,1,0,1
336,3,0,0,1,0,3
337,3,0,0,1,0,1
338,3,0,0,1,0,1
339,3,0,0,1,0,2
340,3,0,0,1,0,1
341,3,0,0,1,0,1
342,3,0,0,1,0,1
343,3,0,0,1,0,1
344,3,0,0,1,0,1
345,3,0,0,1,0,2
346,3,0,0,1,0,1
347,3,0,0,1,0,1
348,3,0,0,1,0,1
349,3,0,0,1,0,1
350,3,0,0,1,0,3
351,3,0,0,1,0,1
352,3,0,0,1,0,1
353,3,0,0,1,0,2
354,3,0,0,1,0,1
355,3,0,0,1,0,2
356,3,0,0,1,0,1
357,3,0,0,1,0,2
358,3,0,0,1,0,1
359,3,0,0,1,0,1
360,3,0,0,1,0,1
361,3,0,0,1,0,1
362,3,0,0,1,0,4
363,3,0,0,1,0,1
364,3,0,0,1,0,3
365,3,0,0,1,0,1
366,3,0,0,1,0,1
367,3,0,0,1,0,1
368,3,0,0,1,0,1
369,3,0,0,1,0,4
370,3,0,0,1,0,1
371,3,0,0,1,0,3
372,3,0,0,1,0,2
373,3,0,0,1,0,1
374,3,0,0,1,0,1
375,3,0,0,1,0,1
376,3,0,0,1,0,1
377,3,0,0,1,0,3
378,3,0,0,1,0,1
379,3,0,0,1,0,2
380,3,0,0,1,0,1
381,3,0,0,1,0,1
382,3,0,0,1,0,1
383,3,0,0,1,0,2
384,3,0,0,1,0,1
385,3,0,0,1,0,1
386,3,0,0,1,0,1
387,3,0,0,1,0,2
388,3,0,0,1,0,3
389,3,0,0,1,0,1
390,3,0,0,1,0,1
391,3,0,0,1,0,4
392,3,0,0,1,0,1
393,3,0,0,1,0,1
394,3,0,0,1,0,1
395,3,0,0,1,0,1
396,3,0,0,1,0,1
397,3,0,0,1,0,1
398,3,0,0,1,0,2
399,3,0,0,1,0,1
400,3,0,0,1,0,2
401,3,0,0,1,0,1
402,3,0,0,1,0,1
403,3,0,0,1,0,2
404,3,0,0,1,0,2
405,3,0,0,1,0,3
406,3,0,0,1,0,1
407,3,0,0,1,0,2
408,3,0,0,1,0,2
409,3,0,0,1,0,4
410,3,0,0,1,0,1
411,3,0,0,1,0,1
412,3,0,0,1,0,2
413,3,0,0,1,0,1
414,3,0,0,1,0,3
415,3,0,0,1,0,2
416,3,0,0,1,0,1
417,3,0,0,1,0,1
418,3,0,0,1,0,1
419,3,0,0,1,0,2
420,3,0,0,1,0,1
421,3,0,0,1,0,2
422,3,0,0,1,0,1
423,3,0,0,1,0,1
424,3,0,0,1,0,2
425,3,0,0,1,0,1
426,3,0,0,1,0,1
427,3,0,0,1,0,2
428,3,0,0,1,0,1
429,3,0,0,1,0,4
430,3,0,0,1,0,1
431,3,0,0,1,0,1
432,3,0,0,1,0,2
433,3,0,0,1,0,1
434,3,0,0,1,0,2
435,3,0,0,1,0,1
436,3,0,0,1,0,2
437,3,0,0,1,0,1
438,3,0,0,1,0,1
439,4,0,0,0,1,1
440,3,0,0,1,0,1
441,3,0,0,1,0,1
442,3,0,0,1,0,1
443,3,0,0,1,0,2
444,3,0,0,1,0,1
445,3,0,0,1,0,1
446,0,0,0,0,0,0
447,1,1,0,0,0,1
448,3,0,0,1,0,4
449,3,0,0,1,0,1
450,3,0,0,1,0,1
451,3,0,0,1,1,2
452,3,0,0,1,0,1
453,3,0,0,1,0,1
454,3,0,0,1,0,1
455,3,0,0,1,0,1
456,3,0,0,1,0,2
457,3,0,0,1,0,1
458,3,0,0,1,0,2
459,3,0,0,1,0,1
460,3,0,0,1,0,1
461,3,0,0,1,0,3
462,3,0,0,1,0,1
463,3,0,0,1,0,1
464,3,0,0,1,0,1
465,3,0,0,1,0,1
466,4,0,0,0,1,1
467,3,0,1,1,0,1
468,3,0,0,1,0,1
469,3,0,0,1,0,1
470,3,0,0,1,0,1
471,3,0,0,1,0,1
472,3,0,0,1,0,2
473,3,0,0,1,0,2
474,3,0,0,1,1,2
475,3,0,0,1,0,1
476,3,0,0,1,0,1
477,3,0,0,1,0,1
478,3,0,0,1,0,2
479,3,0,0,1,0,1
480,3,0,0,1,0,1
481,3,0,0,1,0,2
482,3,0,0,1,0,2
483,3,0,0,1,0,2
484,3,0,0,1,0,2
485,3,0,0,1,0,1
486,3,0,0,1,0,1
487,3,0,0,1,0,3
488,3,0,0,1,0,2
489,3,0,0,1,0,1
490,3,0,0,1,0,1
491,3,0,0,1,0,1
492,3,0,0,1,0,4
493,3,0,0,1,0,1
494,4,0,0,0,1,1
495,3,0,0,1,0,2
496,3,0,0,1,0,3
497,3,0,0,1,0,1
498,3,0,0,1,0,2
499,3,0,0,1,0,1
500,3,0,0,1,0,1
501,3,0,0,1,0,1
502,3,0,0,1,0,4
503,3,0,0,1,0,1
504,4,0,0,1,1,1
505,3,0,0,1,0,3
506,3,0,0,1,0,3
507,3,0,0,1,0,4
508,3,0,0,1,0,2
509,3,0,0,1,0,2
510,3,0,0,1,0,1
511,3,0,0,1,0,2
512,3,0,0,1,0,1
513,3,0,0,1,0,2
514,3,0,0,1,0,1
515,3,0,0,1,0,1
516,3,0,0,1,0,1
517,4,0,0,0,1,1
518,3,0,0,1,0,1
519,3,0,0,1,0,1
520,3,0,0,1,0,1
521,3,0,0,1,0,1
522,2,0,1,0,0,3
523,3,0,0,1,0,2
524,3,0,0,1,0,2
525,4,0,0,0,1,1
526,3,0,0,1,1,2
527,2,0,1,0,0,1
528,3,0,0,1,0,1
529,3,0,0,1,0,1
530,3,0,0,1,0,1
531,3,0,0,1,0,1
532,3,0,0,1,0,1
533,3,0,0,1,0,4
534,3,0,0,1,0,2
535,4,0,0,1,1,2
536,3,0,0,1,1,3
537,3,0,0,1,0,2
538,3,0,0,1,0,1
539,3,0,0,1,0,3
540,3,0,0,1,0,2
541,3,0,0,1,0,1
542,3,0,0,1,0,1
543,3,0,0,1,0,2
544,3,0,0,1,0,4
545,3,0,0,1,0,1
546,3,0,0,1,0,1
547,3,0,0,1,0,4
548,3,0,0,1,0,2
549,3,0,0,1,0,4
550,3,0,0,1,0,3
551,3,0,0,1,0,3
553,3,0,0,1,0,1
554,3,0,0,1,0,2
555,4,0,0,0,1,1
556,3,0,0,1,0,2
557,3,0,0,1,0,1
558,2,0,1,0,0,1
559,3,0,0,1,0,2
560,2,0,1,0,0,1
561,2,1,1,0,0,4
562,4,0,1,0,1,1
563,3,0,0,1,0,1
564,3,0,0,1,0,1
565,0,0,0,0,0,0
566,4,0,0,0,1,1
567,4,0,0,0,1,1
568,0,0,0,0,0,0
569,4,0,0,0,1,1
570,2,0,1,0,1,2
571,0,0,0,0,0,0
572,2,0,1,0,0,1
573,0,0,0,0,0,0
574,3,0,0,1,0,1
575,1,1,0,0,0,1
576,1,1,0,0,0,1
577,4,0,0,0,1,1
578,0,0,0,0,0,0
579,4,0,0,0,1,1
580,1,1,0,0,0,1
581,0,0,0,0,0,0
582,0,0,0,0,0,0
583,0,0,0,0,0,0
584,1,1,0,0,0,1
585,1,1,0,0,0,1
586,2,0,1,0,0,1
587,0,0,0,0,0,0
588,1,1,0,0,0,1
589,2,1,1,0,0,3
590,2,0,1,0,0,2
591,3,0,0,1,0,1
592,3,0,0,1,0,1
593,2,0,1,0,0,2
594,4,0,1,0,1,1
595,3,0,0,1,0,1
596,2,1,1,0,0,4
597,2,0,1,0,0,2
598,2,0,1,0,0,4
599,2,0,1,0,0,1
600,0,0,0,0,0,0
601,0,0,0,0,0,0
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,4,0,1,0,1,1
605,2,0,1,0,1,3
606,2,1,1,0,0,1
607,1,1,0,0,0,1
609,2,0,1,0,0,1
610,3,0,0,1,0,1
611,4,0,0,0,1,1
612,0,0,0,0,0,0
613,0,0,0,0,0,0
614,0,0,0,0,0,0
615,2,0,1,0,1,1
616,0,0,0,0,0,0
617,3,1,0,1,0,1
618,0,0,0,0,0,0
619,2,0,1,0,0,1
620,1,1,0,0,0,1
621,2,1,1,0,0,1
622,1,1,0,0,0,1
623,1,1,1,0,0,1
624,0,0,0,0,0,0
625,0,0,0,0,0,0
626,0,0,0,0,0,0
627,0,0,0,0,0,0
628,3,0,0,1,0,2
629,0,0,0,0,0,0
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,1,1,1,0,0,1
633,0,0,0,0,0,0
634,4,0,0,0,1,1
635,0,0,0,0,0,0
636,2,0,1,0,1,1
637,2,0,1,0,0,1
638,2,0,1,0,0,1
640,3,0,0,1,0,1
641,2,0,1,0,0,1
642,0,0,0,0,0,0
643,0,0,0,0,0,0
644,1,1,1,0,0,1
645,3,0,0,1,0,1
646,3,0,0,1,0,1
647,3,0,0,1,0,1
648,4,0,1,0,1,1
649,0,0,0,0,0,0
650,2,0,1,0,0,1
651,3,0,0,1,0,1
652,4,0,0,1,1,1
653,4,0,0,0,1,1
654,3,0,0,1,0,1
655,3,0,0,1,0,1
656,0,0,0,0,0,0
657,3,0,0,1,0,1
658,3,0,0,1,0,1
659,4,0,0,0,1,1
660,1,1,0,1,0,1
661,3,0,0,1,0,1
662,1,1,0,0,0,1
663,1,1,1,0,0,2
664,2,0,1,0,0,4
665,2,0,1,0,0,1
666,3,0,0,1,0,1
667,0,0,0,0,0,0
669,3,0,1,1,0,2
670,3,0,0,1,0,2
673,3,0,0,1,0,1
674,0,0,0,0,0,0
676,1,1,1,0,0,2
677,3,0,0,1,0,1
678,1,1,0,0,0,1
679,4,0,0,0,1,1
680,1,1,0,0,0,1
681,2,0,1,0,0,1
682,4,0,1,0,1,4
683,3,0,0,1,0,1
684,0,0,0,0,0,0
685,0,0,0,0,0,0
686,1,1,0,0,0,3
687,0,0,0,0,0,0
688,1,1,0,0,0,2
689,1,1,0,0,0,1
690,1,1,0,0,0,1
691,2,0,1,0,0,1
692,4,0,0,0,1,1
693,0,0,0,0,0,0
694,0,0,0,0,0,0
695,1,1,0,0,0,2
696,0,0,0,0,0,0
697,1,1,0,0,0,1
698,1,1,0,0,0,2
699,1,1,0,0,0,2
700,1,1,0,0,0,1
701,0,0,0,0,0,0
702,2,0,1,0,0,2
703,0,0,0,0,0,0
704,1,1,0,0,0,1
705,1,1,0,0,0,1
706,2,0,1,0,0,4
707,0,0,0,0,0,0
708,0,0,0,0,0,0
709,1,1,0,0,0,2
711,2,1,1,0,0,1
712,2,1,1,0,0,1
713,2,0,1,0,0,1
714,1,1,0,0,0,1
715,2,0,1,0,0,3
716,4,0,0,0,1,1
717,1,1,0,0,0,2
718,1,1,0,0,0,1
719,1,1,0,0,0,1
720,2,0,1,0,1,1
721,1,1,0,0,0,2
722,2,0,1,0,0,1
723,2,1,1,0,0,3
724,1,1,0,0,0,1
725,2,0,1,1,0,1
726,2,0,1,0,0,1
727,0,0,0,0,0,0
728,1,1,0,0,0,1
729,1,1,0,0,0,1
730,1,1,0,0,0,1
731,1,1,0,0,0,1
732,1,1,0,0,0,1
733,2,1,1,0,0,4
734,0,0,0,0,0,0
735,1,1,0,0,1,2
736,0,0,0,0,0,0
737,1,1,0,0,0,1
738,2,0,1,0,1,2
739,2,1,1,0,0,1
740,0,0,0,0,0,0
741,0,0,0,0,0,0
742,4,0,0,0,1,1
744,1,1,0,0,0,1
745,0,0,0,0,0,0
746,2,1,1,0,0,2
747,0,0,0,0,0,0
748,1,1,0,0,0,2
749,2,0,1,0,0,1
750,0,0,0,0,0,0
751,2,0,1,0,0,2
752,0,0,0,0,0,0
753,4,0,0,0,1,1
754,1,1,0,0,0,1
755,1,1,0,0,0,2
756,2,1,1,0,0,3
757,1,1,0,0,0,1
758,0,0,0,0,0,0
759,0,0,0,0,0,0
760,2,0,1,0,0,1
761,1,1,0,0,0,1
762,1,1,0,0,0,1
763,0,0,0,0,0,0
764,2,0,1,0,0,1
765,1,1,0,0,0,1
766,0,0,0,0,0,0
767,1,1,0,0,0,1
768,1,1,0,0,0,1
769,2,0,1,0,0,2
770,1,1,0,0,0,1
771,1,1,0,0,0,1
772,2,0,1,0,1,1
773,0,0,0,0,0,0
774,1,1,0,0,0,1
775,0,0,0,0,0,0
776,0,0,0,0,0,0
777,4,0,0,0,1,1
778,0,0,0,0,0,0
779,1,1,0,0,0,1
780,0,0,0,0,0,0
781,0,0,0,0,0,0
782,1,1,0,0,0,1
783,1,1,1,0,0,1
784,1,1,0,0,0,1
785,2,0,1,0,0,2
786,1,1,0,0,0,2
787,2,0,1,0,0,1
788,2,0,1,0,0,1
789,0,0,0,0,0,0
790,1,1,0,0,0,1
791,1,1,0,0,0,2
792,0,0,0,0,0,0
793,0,0,0,0,0,0
794,1,1,1,0,0,3
795,1,1,0,0,0,1
796,2,1,1,0,0,3
797,1,1,0,0,0,1
798,2,0,1,0,0,1
799,1,1,1,0,0,3
800,1,1,0,0,0,2
801,2,0,1,0,0,4
802,1,1,0,0,0,1
803,0,0,0,0,0,0
804,2,0,1,0,0,1
805,2,1,1,0,0,4
806,2,0,1,0,0,4
807,1,1,0,0,0,3
808,1,1,0,0,0,1
809,2,0,1,0,0,2
810,0,0,0,0,0,0
811,3,0,0,1,0,3
812,2,1,1,0,0,2
813,2,0,1,0,0,1
814,2,0,1,0,1,1
815,0,0,0,0,0,0
816,0,0,0,0,0,0
817,1,1,1,0,0,1
818,2,0,1,0,0,1
819,1,1,0,0,0,1
820,2,0,1,0,0,1
821,1,1,0,0,0,1
822,1,1,0,0,0,2
823,2,0,1,0,0,3
824,0,0,0,0,0,0
825,0,0,0,0,0,0
826,0,0,0,0,0,0
827,0,0,0,0,0,0
828,1,1,0,0,0,1
829,4,0,0,0,1,1
830,0,0,0,0,0,0
831,0,0,0,0,0,0
832,2,0,1,0,0,2
833,0,0,0,0,0,0
834,1,1,0,0,0,1
835,1,1,0,0,0,1
836,1,1,0,0,0,1
837,0,0,0,0,0,0
838,1,1,0,0,0,1
839,1,1,0,0,0,2
840,1,1,0,0,0,1
841,0,0,0,0,0,0
842,0,0,0,0,0,0
843,1,1,1,0,0,2
844,1,1,0,0,0,1
845,0,0,0,0,0,0
846,1,1,0,0,1,1
847,2,0,1,0,0,1
848,0,0,0,0,0,0
849,1,1,1,0,0,1
850,1,1,0,0,0,1
851,1,1,0,0,0,1
852,0,0,0,0,0,0
853,0,0,0,0,0,0
854,0,0,0,0,0,0
855,1,1,0,0,0,1
856,1,1,0,0,0,2
857,1,1,0,0,0,2
858,2,0,1,0,0,1
859,2,0,1,0,0,1
860,1,1,0,0,0,1
861,1,1,0,0,0,1
862,1,1,0,0,1,1
863,4,0,0,0,1,1
864,1,1,0,0,0,2
865,2,0,1,0,0,1
866,0,0,0,0,0,0
867,1,1,0,0,0,1
868,1,1,0,0,0,1
869,1,1,1,0,0,2
870,1,1,1,0,0,2
871,1,1,0,0,0,2
872,1,1,0,0,0,2
873,1,1,0,0,0,1
874,1,1,0,0,0,1
875,1,1,0,0,0,3
876,1,1,0,0,0,2
877,0,0,0,0,0,0
878,2,0,1,0,0,1
879,0,0,0,0,0,0
880,2,0,1,0,0,1
881,2,0,1,0,0,2
882,2,0,1,0,0,1
883,2,0,1,0,0,1
884,0,0,0,0,0,0
885,2,0,1,0,1,1
886,0,0,0,0,0,0
887,1,1,0,0,0,1
888,1,1,0,0,0,1
889,4,0,0,0,1,1
890,2,1,1,0,0,2
891,0,0,0,0,0,0
892,1,1,0,0,0,1
893,1,1,0,0,0,2
894,1,1,0,0,0,2
895,1,1,0,0,0,2
896,1,1,0,0,0,2
897,2,1,1,0,0,4
898,1,1,0,0,0,1
899,2,0,1,0,0,2
900,1,1,0,0,0,3
901,1,1,0,0,1,2
902,1,1,0,0,1,1
903,1,1,0,0,0,3
904,0,0,0,0,0,0
905,1,1,0,0,0,1
906,1,1,0,0,0,1
907,1,1,0,0,0,2
908,1,1,0,0,0,2
909,0,0,0,0,0,0
910,1,1,1,0,0,1
911,0,0,0,0,0,0
912,2,1,1,0,0,2
913,0,0,0,0,0,0
914,1,1,0,0,0,3
915,0,0,0,0,0,0
916,1,1,0,0,0,1
917,4,0,0,0,1,1
918,4,0,0,0,1,1
919,0,0,0,0,0,0
920,1,1,0,0,0,2
921,0,0,0,0,0,0
922,1,1,0,0,0,1
923,1,1,0,0,0,2
924,0,0,0,0,0,0
926,1,1,0,0,0,2
927,2,0,1,0,0,1
928,2,0,1,0,0,2
929,1,1,0,0,0,1
930,4,0,0,0,1,1
931,1,1,0,0,0,2
932,1,1,0,0,0,1
933,0,0,0,0,0,0
934,0,0,0,0,0,0
935,0,0,0,0,0,0
936,0,0,0,0,0,0
937,0,0,0,0,0,0
938,0,0,0,0,0,0
939,0,0,0,0,0,0
940,0,0,0,0,0,0
941,0,0,0,0,0,0
942,0,0,0,0,0,0
943,0,0,0,0,0,0
944,0,0,0,0,0,0
945,0,0,0,0,0,0
946,0,0,0,0,0,0
947,0,0,0,0,0,0
948,0,0,0,0,0,0
949,0,0,0,0,0,0
950,0,0,0,0,0,0
951,0,0,0,0,0,0
952,0,0,0,0,0,0
953,0,0,0,0,0,0
954,0,0,0,0,0,0
955,0,0,0,0,0,0
956,0,0,0,0,0,0
957,0,0,0,0,0,0
958,0,0,0,0,0,0
959,0,0,0,0,0,0
960,0,0,0,0,0,0
961,0,0,0,0,0,0
962,0,0,0,0,0,0
963,0,0,0,0,0,0
964,0,0,0,0,0,0
965,0,0,0,0,0,0
966,0,0,0,0,0,0
967,0,0,0,0,0,0
968,0,0,0,0,0,0
969,0,0,0,0,0,0
970,0,0,0,0,0,0
971,0,0,0,0,0,0
972,0,0,0,0,0,0
973,0,0,0,0,0,0
974,0,0,0,0,0,0
975,0,0,0,0,0,0
976,0,0,0,0,0,0
977,0,0,0,0,0,0
978,0,0,0,0,0,0
979,0,0,0,0,0,0
980,0,0,0,0,0,0
981,0,0,0,0,0,0
982,0,0,0,0,0,0
983,0,0,0,0,0,0
984,0,0,0,0,0,0
985,0,0,0,0,0,0
986,0,0,0,0,0,0
987,0,0,0,0,0,0
988,0,0,0,0,0,0
989,0,0,0,0,0,0
990,0,0,0,0,0,0
991,0,0,0,0,0,0
992,0,0,0,0,0,0
993,0,0,0,0,0,0
994,0,0,0,0,0,0
995,0,0,0,0,0,0
996,3,0,0,1,0,1
997,1,1,0,0,0,1
998,0,0,0,0,0,0
999,0,0,0,0,0,0
1000,1,1,0,0,0,1
1001,0,0,0,0,0,0
1002,1,1,0,0,0,1
1003,1,1,0,0,0,1
1004,1,1,0,0,0,1
1005,1,1,0,0,0,1
